"Zone Name",Projector,"Server Mode","DMX Universe","DMX Address","Vis Fixture"
"laser 1",1,3,1,1,1
"laser 2",2,3,1,33,2
"laser 3",3,3,1,65,3
"laser 4",4,3,1,97,4
"laser 5",5,3,1,129,5
"laser 6",6,3,1,161,6
"laser 7",7,3,1,193,7
"laser 8",8,3,1,225,8
"laser 9",9,3,1,257,9
"laser 10",10,3,1,289,10
"laser 11",11,3,2,1,11
"laser 12",12,3,2,33,12
"laser 13",13,3,2,65,13
"laser 14",14,3,2,97,14
"laser 15",15,3,2,129,15
"laser 16",16,3,2,161,16
"laser 17",17,3,2,193,17
"laser 18",18,3,2,225,18
"laser 19",19,3,2,257,19
"laser 20",20,3,2,289,20
"laser 21",21,3,3,1,21
"laser 22",22,3,3,33,22
"laser 23",23,3,3,65,23
"laser 24",24,3,3,97,24
"laser 25",25,3,3,129,25
