"Zone Name",Projector,"Server Mode","DMX Universe","DMX Address","Vis Fixture"
"laser 1",1,1,0,0,1
"laser 2",2,1,0,0,2
"laser 3",3,1,0,0,3
"laser 4",4,1,0,0,4
"laser 5",5,1,0,0,5
"laser 6",6,1,0,0,6
"laser 7",7,1,0,0,7
"laser 8",8,1,0,0,8
"laser 9",9,1,0,0,9
"laser 10",10,1,0,0,10
"laser 11",11,1,0,0,11
"laser 12",12,1,0,0,12
"laser 13",13,1,0,0,13
"laser 14",14,1,0,0,14
"laser 15",15,1,0,0,15
"laser 16",16,1,0,0,16
"laser 17",17,1,0,0,17
"laser 18",18,1,0,0,18
"laser 19",19,1,0,0,19
"laser 20",20,1,0,0,20
"laser 21",21,1,0,0,21
"laser 22",22,1,0,0,22
"laser 23",23,1,0,0,23
"laser 24",24,1,0,0,24
"laser 25",25,1,0,0,25
"laser 26",26,1,0,0,26
"laser 27",27,1,0,0,27
"laser 28",28,1,0,0,28
"laser 29",29,1,0,0,29
"laser 30",30,1,0,0,30
"laser 31",31,1,0,0,31
"laser 32",32,1,0,0,32
"laser 33",33,1,0,0,33
"laser 34",34,1,0,0,34
"laser 35",35,1,0,0,35
"laser 36",36,1,0,0,36
"laser 37",37,1,0,0,37
"laser 38",38,1,0,0,38
