"Zone Name",Projector,"Server Mode","DMX Universe","DMX Address","Vis Fixture"
"laser 1",1,4,1,1,1
"laser 2",2,4,1,51,2
"laser 3",3,4,1,101,3
"laser 4",4,4,1,151,4
"laser 5",5,4,1,201,5
"laser 6",6,4,2,1,6
"laser 7",7,4,2,51,7
"laser 8",8,4,2,101,8
"laser 9",9,4,2,151,9
"laser 10",10,4,2,201,10
"laser 11",11,4,3,1,11
"laser 12",12,4,3,51,12
"laser 13",13,4,3,101,13
"laser 14",14,4,3,151,14
"laser 15",15,4,3,201,15
"laser 16",16,4,4,1,16
"laser 17",17,4,4,51,17
"laser 18",18,4,4,101,18
"laser 19",19,4,4,151,19
"laser 20",20,4,4,201,20
"laser 21",21,4,5,1,21
"laser 22",22,4,5,51,22
"laser 23",23,4,5,101,23
"laser 24",24,4,5,151,24
"laser 25",25,4,5,201,25
"laser 26",26,4,6,1,26
"laser 27",27,4,6,51,27
"laser 28",28,4,6,101,28
"laser 29",29,4,6,151,29
"laser 30",30,4,6,201,30
"laser 31",31,4,7,1,31
"laser 32",32,4,7,51,32
"laser 33",33,4,7,101,33
"laser 34",34,4,7,151,34
"laser 35",35,4,7,201,35
"laser 36",36,4,8,1,36
"laser 37",37,4,8,51,37
"laser 38",38,4,8,101,38
