"Zone Name",Projector,"Server Mode","DMX Universe","DMX Address","Vis Fixture"
"laser 1",1,3,1,1,1
"laser 2",2,3,1,33,2
"laser 3",3,3,1,65,3
"laser 4",4,3,1,97,4
"laser 5",5,3,1,129,5
"laser 6",6,3,1,161,6
"laser 7",7,3,1,193,7
"laser 8",8,3,1,225,8
"laser 9",9,3,1,257,9
"laser 10",10,3,1,289,10
"laser 11",11,3,1,321,11
"laser 12",12,3,1,353,12
"laser 13",13,3,1,385,13
"laser 14",14,3,1,417,14
"laser 15",15,3,1,449,15
"laser 16",16,3,1,481,16
"laser 17",17,3,2,1,17
"laser 18",18,3,2,33,18
"laser 19",19,3,2,65,19
"laser 20",20,3,2,97,20
"laser 21",21,3,2,129,21
"laser 22",22,3,2,161,22
"laser 23",23,3,2,193,23
"laser 24",24,3,2,225,24
"laser 25",25,3,2,257,25
"laser 26",26,3,2,289,26
"laser 27",27,3,2,321,27
"laser 28",28,3,2,353,28
"laser 29",29,3,2,385,29
"laser 30",30,3,2,417,30
"laser 31",31,3,2,449,31
"laser 32",32,3,2,481,32
"laser 33",33,3,3,1,33
"laser 34",34,3,3,33,34
"laser 35",35,3,3,65,35
"laser 36",36,3,3,97,36
"laser 37",37,3,3,129,37
"laser 38",38,3,3,161,38
"laser 39",39,3,3,193,39
"laser 40",40,3,3,225,40
