"Zone Name",Projector,"Server Mode","DMX Universe","DMX Address","Vis Fixture"
"laser 1",1,4,1,1,1
"laser 2",2,4,1,51,2
"laser 3",3,4,1,101,3
"laser 4",4,4,1,151,4
"laser 5",5,4,1,201,5
"laser 6",6,4,1,251,6
"laser 7",7,4,1,301,7
"laser 8",8,4,1,351,8
"laser 9",9,4,1,401,9
"laser 10",10,4,1,451,10
"laser 11",11,4,1,501,11
"laser 12",12,4,2,1,12
"laser 13",13,4,2,51,13
"laser 14",14,4,2,101,14
"laser 15",15,4,2,151,15
"laser 16",16,4,2,201,16
"laser 17",17,4,2,251,17
"laser 18",18,4,2,301,18
"laser 19",19,4,2,351,19
"laser 20",20,4,2,401,20
"laser 21",21,4,2,451,21
"laser 22",22,4,2,501,22
"laser 23",23,4,3,1,23
"laser 24",24,4,3,51,24
"laser 25",25,4,3,101,25
"laser 26",26,4,3,151,26
"laser 27",27,4,3,201,27
"laser 28",28,4,3,251,28
"laser 29",29,4,3,301,29
"laser 30",30,4,3,351,30
"laser 31",31,4,3,401,31
"laser 32",32,4,3,451,32
"laser 33",33,4,3,501,33
"laser 34",34,4,4,1,34
"laser 35",35,4,4,51,35
"laser 36",36,4,4,101,36
"laser 37",37,4,4,151,37
"laser 38",38,4,4,201,38
"laser 39",39,4,4,251,39
"laser 40",40,4,4,301,40
